ID	Type	Description	DataCoding
25380	Continuous	Mean ICVF in cingulum hippocampus on FA skeleton (right)
25381	Continuous	Mean ICVF in cingulum hippocampus on FA skeleton (left)
25382	Continuous	Mean ICVF in fornix cres+stria terminalis on FA skeleton (right)
25383	Continuous	Mean ICVF in fornix cres+stria terminalis on FA skeleton (left)
25384	Continuous	Mean ICVF in superior longitudinal fasciculus on FA skeleton (right)
25385	Continuous	Mean ICVF in superior longitudinal fasciculus on FA skeleton (left)
25386	Continuous	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (right)
25387	Continuous	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (left)
25388	Continuous	Mean ICVF in uncinate fasciculus on FA skeleton (right)
25389	Continuous	Mean ICVF in uncinate fasciculus on FA skeleton (left)
25390	Continuous	Mean ICVF in tapetum on FA skeleton (right)
25391	Continuous	Mean ICVF in tapetum on FA skeleton (left)
25392	Continuous	Mean OD in middle cerebellar peduncle on FA skeleton
25393	Continuous	Mean OD in pontine crossing tract on FA skeleton
25394	Continuous	Mean OD in genu of corpus callosum on FA skeleton
25395	Continuous	Mean OD in body of corpus callosum on FA skeleton
25396	Continuous	Mean OD in splenium of corpus callosum on FA skeleton
25397	Continuous	Mean OD in fornix on FA skeleton
25398	Continuous	Mean OD in corticospinal tract on FA skeleton (right)
25399	Continuous	Mean OD in corticospinal tract on FA skeleton (left)
25400	Continuous	Mean OD in medial lemniscus on FA skeleton (right)
25401	Continuous	Mean OD in medial lemniscus on FA skeleton (left)
25402	Continuous	Mean OD in inferior cerebellar peduncle on FA skeleton (right)
25403	Continuous	Mean OD in inferior cerebellar peduncle on FA skeleton (left)
25404	Continuous	Mean OD in superior cerebellar peduncle on FA skeleton (right)
25405	Continuous	Mean OD in superior cerebellar peduncle on FA skeleton (left)
25406	Continuous	Mean OD in cerebral peduncle on FA skeleton (right)
25407	Continuous	Mean OD in cerebral peduncle on FA skeleton (left)
25408	Continuous	Mean OD in anterior limb of internal capsule on FA skeleton (right)
25409	Continuous	Mean OD in anterior limb of internal capsule on FA skeleton (left)
25410	Continuous	Mean OD in posterior limb of internal capsule on FA skeleton (right)
25411	Continuous	Mean OD in posterior limb of internal capsule on FA skeleton (left)
25412	Continuous	Mean OD in retrolenticular part of internal capsule on FA skeleton (right)
25413	Continuous	Mean OD in retrolenticular part of internal capsule on FA skeleton (left)
25414	Continuous	Mean OD in anterior corona radiata on FA skeleton (right)
25415	Continuous	Mean OD in anterior corona radiata on FA skeleton (left)
25416	Continuous	Mean OD in superior corona radiata on FA skeleton (right)
25417	Continuous	Mean OD in superior corona radiata on FA skeleton (left)
25418	Continuous	Mean OD in posterior corona radiata on FA skeleton (right)
25419	Continuous	Mean OD in posterior corona radiata on FA skeleton (left)
25420	Continuous	Mean OD in posterior thalamic radiation on FA skeleton (right)
25421	Continuous	Mean OD in posterior thalamic radiation on FA skeleton (left)
25422	Continuous	Mean OD in sagittal stratum on FA skeleton (right)
25423	Continuous	Mean OD in sagittal stratum on FA skeleton (left)
25424	Continuous	Mean OD in external capsule on FA skeleton (right)
25425	Continuous	Mean OD in external capsule on FA skeleton (left)
25426	Continuous	Mean OD in cingulum cingulate gyrus on FA skeleton (right)
25427	Continuous	Mean OD in cingulum cingulate gyrus on FA skeleton (left)
25428	Continuous	Mean OD in cingulum hippocampus on FA skeleton (right)
25429	Continuous	Mean OD in cingulum hippocampus on FA skeleton (left)
25430	Continuous	Mean OD in fornix cres+stria terminalis on FA skeleton (right)
25431	Continuous	Mean OD in fornix cres+stria terminalis on FA skeleton (left)
25432	Continuous	Mean OD in superior longitudinal fasciculus on FA skeleton (right)
25433	Continuous	Mean OD in superior longitudinal fasciculus on FA skeleton (left)
25434	Continuous	Mean OD in superior fronto-occipital fasciculus on FA skeleton (right)
25435	Continuous	Mean OD in superior fronto-occipital fasciculus on FA skeleton (left)
25436	Continuous	Mean OD in uncinate fasciculus on FA skeleton (right)
25437	Continuous	Mean OD in uncinate fasciculus on FA skeleton (left)
25438	Continuous	Mean OD in tapetum on FA skeleton (right)
25439	Continuous	Mean OD in tapetum on FA skeleton (left)
25440	Continuous	Mean ISOVF in middle cerebellar peduncle on FA skeleton
25441	Continuous	Mean ISOVF in pontine crossing tract on FA skeleton
25442	Continuous	Mean ISOVF in genu of corpus callosum on FA skeleton
25443	Continuous	Mean ISOVF in body of corpus callosum on FA skeleton
25444	Continuous	Mean ISOVF in splenium of corpus callosum on FA skeleton
25445	Continuous	Mean ISOVF in fornix on FA skeleton
25446	Continuous	Mean ISOVF in corticospinal tract on FA skeleton (right)
25447	Continuous	Mean ISOVF in corticospinal tract on FA skeleton (left)
25448	Continuous	Mean ISOVF in medial lemniscus on FA skeleton (right)
25449	Continuous	Mean ISOVF in medial lemniscus on FA skeleton (left)
25450	Continuous	Mean ISOVF in inferior cerebellar peduncle on FA skeleton (right)
25451	Continuous	Mean ISOVF in inferior cerebellar peduncle on FA skeleton (left)
25452	Continuous	Mean ISOVF in superior cerebellar peduncle on FA skeleton (right)
25453	Continuous	Mean ISOVF in superior cerebellar peduncle on FA skeleton (left)
25454	Continuous	Mean ISOVF in cerebral peduncle on FA skeleton (right)
25455	Continuous	Mean ISOVF in cerebral peduncle on FA skeleton (left)
25456	Continuous	Mean ISOVF in anterior limb of internal capsule on FA skeleton (right)
25457	Continuous	Mean ISOVF in anterior limb of internal capsule on FA skeleton (left)
25458	Continuous	Mean ISOVF in posterior limb of internal capsule on FA skeleton (right)
25459	Continuous	Mean ISOVF in posterior limb of internal capsule on FA skeleton (left)
25460	Continuous	Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (right)
25461	Continuous	Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (left)
25462	Continuous	Mean ISOVF in anterior corona radiata on FA skeleton (right)
25463	Continuous	Mean ISOVF in anterior corona radiata on FA skeleton (left)
25464	Continuous	Mean ISOVF in superior corona radiata on FA skeleton (right)
25465	Continuous	Mean ISOVF in superior corona radiata on FA skeleton (left)
25466	Continuous	Mean ISOVF in posterior corona radiata on FA skeleton (right)
25467	Continuous	Mean ISOVF in posterior corona radiata on FA skeleton (left)
25468	Continuous	Mean ISOVF in posterior thalamic radiation on FA skeleton (right)
25469	Continuous	Mean ISOVF in posterior thalamic radiation on FA skeleton (left)
25470	Continuous	Mean ISOVF in sagittal stratum on FA skeleton (right)
25471	Continuous	Mean ISOVF in sagittal stratum on FA skeleton (left)
25472	Continuous	Mean ISOVF in external capsule on FA skeleton (right)
25473	Continuous	Mean ISOVF in external capsule on FA skeleton (left)
25474	Continuous	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (right)
25475	Continuous	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (left)
25476	Continuous	Mean ISOVF in cingulum hippocampus on FA skeleton (right)
25477	Continuous	Mean ISOVF in cingulum hippocampus on FA skeleton (left)
25478	Continuous	Mean ISOVF in fornix cres+stria terminalis on FA skeleton (right)
25479	Continuous	Mean ISOVF in fornix cres+stria terminalis on FA skeleton (left)
25480	Continuous	Mean ISOVF in superior longitudinal fasciculus on FA skeleton (right)
25481	Continuous	Mean ISOVF in superior longitudinal fasciculus on FA skeleton (left)
25482	Continuous	Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (right)
25483	Continuous	Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (left)
25484	Continuous	Mean ISOVF in uncinate fasciculus on FA skeleton (right)
25485	Continuous	Mean ISOVF in uncinate fasciculus on FA skeleton (left)
25486	Continuous	Mean ISOVF in tapetum on FA skeleton (right)
25487	Continuous	Mean ISOVF in tapetum on FA skeleton (left)
25488	Continuous	Weighted-mean FA in tract acoustic radiation (left)
25489	Continuous	Weighted-mean FA in tract acoustic radiation (right)
25490	Continuous	Weighted-mean FA in tract anterior thalamic radiation (left)
25491	Continuous	Weighted-mean FA in tract anterior thalamic radiation (right)
25492	Continuous	Weighted-mean FA in tract cingulate gyrus part of cingulum (left)
25493	Continuous	Weighted-mean FA in tract cingulate gyrus part of cingulum (right)
25494	Continuous	Weighted-mean FA in tract parahippocampal part of cingulum (left)
25495	Continuous	Weighted-mean FA in tract parahippocampal part of cingulum (right)
25496	Continuous	Weighted-mean FA in tract corticospinal tract (left)
25497	Continuous	Weighted-mean FA in tract corticospinal tract (right)
25498	Continuous	Weighted-mean FA in tract forceps major
25499	Continuous	Weighted-mean FA in tract forceps minor
25500	Continuous	Weighted-mean FA in tract inferior fronto-occipital fasciculus (left)
25501	Continuous	Weighted-mean FA in tract inferior fronto-occipital fasciculus (right)
25502	Continuous	Weighted-mean FA in tract inferior longitudinal fasciculus (left)
25503	Continuous	Weighted-mean FA in tract inferior longitudinal fasciculus (right)
25504	Continuous	Weighted-mean FA in tract middle cerebellar peduncle
25505	Continuous	Weighted-mean FA in tract medial lemniscus (left)
25506	Continuous	Weighted-mean FA in tract medial lemniscus (right)
25507	Continuous	Weighted-mean FA in tract posterior thalamic radiation (left)
25508	Continuous	Weighted-mean FA in tract posterior thalamic radiation (right)
25509	Continuous	Weighted-mean FA in tract superior longitudinal fasciculus (left)
25510	Continuous	Weighted-mean FA in tract superior longitudinal fasciculus (right)
25511	Continuous	Weighted-mean FA in tract superior thalamic radiation (left)
25512	Continuous	Weighted-mean FA in tract superior thalamic radiation (right)
25513	Continuous	Weighted-mean FA in tract uncinate fasciculus (left)
25514	Continuous	Weighted-mean FA in tract uncinate fasciculus (right)
25515	Continuous	Weighted-mean MD in tract acoustic radiation (left)
25516	Continuous	Weighted-mean MD in tract acoustic radiation (right)
25517	Continuous	Weighted-mean MD in tract anterior thalamic radiation (left)
25518	Continuous	Weighted-mean MD in tract anterior thalamic radiation (right)
25519	Continuous	Weighted-mean MD in tract cingulate gyrus part of cingulum (left)
25520	Continuous	Weighted-mean MD in tract cingulate gyrus part of cingulum (right)
25521	Continuous	Weighted-mean MD in tract parahippocampal part of cingulum (left)
25522	Continuous	Weighted-mean MD in tract parahippocampal part of cingulum (right)
25523	Continuous	Weighted-mean MD in tract corticospinal tract (left)
25524	Continuous	Weighted-mean MD in tract corticospinal tract (right)
25525	Continuous	Weighted-mean MD in tract forceps major
25526	Continuous	Weighted-mean MD in tract forceps minor
25527	Continuous	Weighted-mean MD in tract inferior fronto-occipital fasciculus (left)
25528	Continuous	Weighted-mean MD in tract inferior fronto-occipital fasciculus (right)
25529	Continuous	Weighted-mean MD in tract inferior longitudinal fasciculus (left)
25530	Continuous	Weighted-mean MD in tract inferior longitudinal fasciculus (right)
25531	Continuous	Weighted-mean MD in tract middle cerebellar peduncle
25532	Continuous	Weighted-mean MD in tract medial lemniscus (left)
25533	Continuous	Weighted-mean MD in tract medial lemniscus (right)
25534	Continuous	Weighted-mean MD in tract posterior thalamic radiation (left)
25535	Continuous	Weighted-mean MD in tract posterior thalamic radiation (right)
25536	Continuous	Weighted-mean MD in tract superior longitudinal fasciculus (left)
25537	Continuous	Weighted-mean MD in tract superior longitudinal fasciculus (right)
25538	Continuous	Weighted-mean MD in tract superior thalamic radiation (left)
25539	Continuous	Weighted-mean MD in tract superior thalamic radiation (right)
25540	Continuous	Weighted-mean MD in tract uncinate fasciculus (left)
25541	Continuous	Weighted-mean MD in tract uncinate fasciculus (right)
25542	Continuous	Weighted-mean MO in tract acoustic radiation (left)
25543	Continuous	Weighted-mean MO in tract acoustic radiation (right)
25544	Continuous	Weighted-mean MO in tract anterior thalamic radiation (left)
25545	Continuous	Weighted-mean MO in tract anterior thalamic radiation (right)
25546	Continuous	Weighted-mean MO in tract cingulate gyrus part of cingulum (left)
25547	Continuous	Weighted-mean MO in tract cingulate gyrus part of cingulum (right)
25548	Continuous	Weighted-mean MO in tract parahippocampal part of cingulum (left)
25549	Continuous	Weighted-mean MO in tract parahippocampal part of cingulum (right)
25550	Continuous	Weighted-mean MO in tract corticospinal tract (left)
25551	Continuous	Weighted-mean MO in tract corticospinal tract (right)
25552	Continuous	Weighted-mean MO in tract forceps major
25553	Continuous	Weighted-mean MO in tract forceps minor
25554	Continuous	Weighted-mean MO in tract inferior fronto-occipital fasciculus (left)
25555	Continuous	Weighted-mean MO in tract inferior fronto-occipital fasciculus (right)
25556	Continuous	Weighted-mean MO in tract inferior longitudinal fasciculus (left)
25557	Continuous	Weighted-mean MO in tract inferior longitudinal fasciculus (right)
25558	Continuous	Weighted-mean MO in tract middle cerebellar peduncle
25559	Continuous	Weighted-mean MO in tract medial lemniscus (left)
25560	Continuous	Weighted-mean MO in tract medial lemniscus (right)
25561	Continuous	Weighted-mean MO in tract posterior thalamic radiation (left)
25562	Continuous	Weighted-mean MO in tract posterior thalamic radiation (right)
25563	Continuous	Weighted-mean MO in tract superior longitudinal fasciculus (left)
25564	Continuous	Weighted-mean MO in tract superior longitudinal fasciculus (right)
25565	Continuous	Weighted-mean MO in tract superior thalamic radiation (left)
25566	Continuous	Weighted-mean MO in tract superior thalamic radiation (right)
25567	Continuous	Weighted-mean MO in tract uncinate fasciculus (left)
25568	Continuous	Weighted-mean MO in tract uncinate fasciculus (right)
25569	Continuous	Weighted-mean L1 in tract acoustic radiation (left)
25570	Continuous	Weighted-mean L1 in tract acoustic radiation (right)
25571	Continuous	Weighted-mean L1 in tract anterior thalamic radiation (left)
25572	Continuous	Weighted-mean L1 in tract anterior thalamic radiation (right)
25573	Continuous	Weighted-mean L1 in tract cingulate gyrus part of cingulum (left)
25574	Continuous	Weighted-mean L1 in tract cingulate gyrus part of cingulum (right)
25575	Continuous	Weighted-mean L1 in tract parahippocampal part of cingulum (left)
25576	Continuous	Weighted-mean L1 in tract parahippocampal part of cingulum (right)
25577	Continuous	Weighted-mean L1 in tract corticospinal tract (left)
25578	Continuous	Weighted-mean L1 in tract corticospinal tract (right)
25579	Continuous	Weighted-mean L1 in tract forceps major
25580	Continuous	Weighted-mean L1 in tract forceps minor
25581	Continuous	Weighted-mean L1 in tract inferior fronto-occipital fasciculus (left)
25582	Continuous	Weighted-mean L1 in tract inferior fronto-occipital fasciculus (right)
25583	Continuous	Weighted-mean L1 in tract inferior longitudinal fasciculus (left)
25584	Continuous	Weighted-mean L1 in tract inferior longitudinal fasciculus (right)
25585	Continuous	Weighted-mean L1 in tract middle cerebellar peduncle
25586	Continuous	Weighted-mean L1 in tract medial lemniscus (left)
25587	Continuous	Weighted-mean L1 in tract medial lemniscus (right)
25588	Continuous	Weighted-mean L1 in tract posterior thalamic radiation (left)
25589	Continuous	Weighted-mean L1 in tract posterior thalamic radiation (right)
25590	Continuous	Weighted-mean L1 in tract superior longitudinal fasciculus (left)
25591	Continuous	Weighted-mean L1 in tract superior longitudinal fasciculus (right)
25592	Continuous	Weighted-mean L1 in tract superior thalamic radiation (left)
25593	Continuous	Weighted-mean L1 in tract superior thalamic radiation (right)
25594	Continuous	Weighted-mean L1 in tract uncinate fasciculus (left)
25595	Continuous	Weighted-mean L1 in tract uncinate fasciculus (right)
25596	Continuous	Weighted-mean L2 in tract acoustic radiation (left)
25597	Continuous	Weighted-mean L2 in tract acoustic radiation (right)
25598	Continuous	Weighted-mean L2 in tract anterior thalamic radiation (left)
25599	Continuous	Weighted-mean L2 in tract anterior thalamic radiation (right)
25600	Continuous	Weighted-mean L2 in tract cingulate gyrus part of cingulum (left)
25601	Continuous	Weighted-mean L2 in tract cingulate gyrus part of cingulum (right)
25602	Continuous	Weighted-mean L2 in tract parahippocampal part of cingulum (left)
25603	Continuous	Weighted-mean L2 in tract parahippocampal part of cingulum (right)
25604	Continuous	Weighted-mean L2 in tract corticospinal tract (left)
25605	Continuous	Weighted-mean L2 in tract corticospinal tract (right)
25606	Continuous	Weighted-mean L2 in tract forceps major
25607	Continuous	Weighted-mean L2 in tract forceps minor
25608	Continuous	Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left)
25609	Continuous	Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right)
25610	Continuous	Weighted-mean L2 in tract inferior longitudinal fasciculus (left)
25611	Continuous	Weighted-mean L2 in tract inferior longitudinal fasciculus (right)
25612	Continuous	Weighted-mean L2 in tract middle cerebellar peduncle
25613	Continuous	Weighted-mean L2 in tract medial lemniscus (left)
25614	Continuous	Weighted-mean L2 in tract medial lemniscus (right)
25615	Continuous	Weighted-mean L2 in tract posterior thalamic radiation (left)
25616	Continuous	Weighted-mean L2 in tract posterior thalamic radiation (right)
25617	Continuous	Weighted-mean L2 in tract superior longitudinal fasciculus (left)
25618	Continuous	Weighted-mean L2 in tract superior longitudinal fasciculus (right)
25619	Continuous	Weighted-mean L2 in tract superior thalamic radiation (left)
25620	Continuous	Weighted-mean L2 in tract superior thalamic radiation (right)
25621	Continuous	Weighted-mean L2 in tract uncinate fasciculus (left)
25622	Continuous	Weighted-mean L2 in tract uncinate fasciculus (right)
25623	Continuous	Weighted-mean L3 in tract acoustic radiation (left)
25624	Continuous	Weighted-mean L3 in tract acoustic radiation (right)
25625	Continuous	Weighted-mean L3 in tract anterior thalamic radiation (left)
25626	Continuous	Weighted-mean L3 in tract anterior thalamic radiation (right)
25627	Continuous	Weighted-mean L3 in tract cingulate gyrus part of cingulum (left)
25628	Continuous	Weighted-mean L3 in tract cingulate gyrus part of cingulum (right)
25629	Continuous	Weighted-mean L3 in tract parahippocampal part of cingulum (left)
25630	Continuous	Weighted-mean L3 in tract parahippocampal part of cingulum (right)
25631	Continuous	Weighted-mean L3 in tract corticospinal tract (left)
25632	Continuous	Weighted-mean L3 in tract corticospinal tract (right)
25633	Continuous	Weighted-mean L3 in tract forceps major
25634	Continuous	Weighted-mean L3 in tract forceps minor
25635	Continuous	Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left)
25636	Continuous	Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right)
25637	Continuous	Weighted-mean L3 in tract inferior longitudinal fasciculus (left)
25638	Continuous	Weighted-mean L3 in tract inferior longitudinal fasciculus (right)
25639	Continuous	Weighted-mean L3 in tract middle cerebellar peduncle
25640	Continuous	Weighted-mean L3 in tract medial lemniscus (left)
25641	Continuous	Weighted-mean L3 in tract medial lemniscus (right)
25642	Continuous	Weighted-mean L3 in tract posterior thalamic radiation (left)
25643	Continuous	Weighted-mean L3 in tract posterior thalamic radiation (right)
25644	Continuous	Weighted-mean L3 in tract superior longitudinal fasciculus (left)
25645	Continuous	Weighted-mean L3 in tract superior longitudinal fasciculus (right)
25646	Continuous	Weighted-mean L3 in tract superior thalamic radiation (left)
25647	Continuous	Weighted-mean L3 in tract superior thalamic radiation (right)
25648	Continuous	Weighted-mean L3 in tract uncinate fasciculus (left)
25649	Continuous	Weighted-mean L3 in tract uncinate fasciculus (right)
25650	Continuous	Weighted-mean ICVF in tract acoustic radiation (left)
25651	Continuous	Weighted-mean ICVF in tract acoustic radiation (right)
25652	Continuous	Weighted-mean ICVF in tract anterior thalamic radiation (left)
25653	Continuous	Weighted-mean ICVF in tract anterior thalamic radiation (right)
25654	Continuous	Weighted-mean ICVF in tract cingulate gyrus part of cingulum (left)
25655	Continuous	Weighted-mean ICVF in tract cingulate gyrus part of cingulum (right)
25656	Continuous	Weighted-mean ICVF in tract parahippocampal part of cingulum (left)
25657	Continuous	Weighted-mean ICVF in tract parahippocampal part of cingulum (right)
25658	Continuous	Weighted-mean ICVF in tract corticospinal tract (left)
25659	Continuous	Weighted-mean ICVF in tract corticospinal tract (right)
25660	Continuous	Weighted-mean ICVF in tract forceps major
25661	Continuous	Weighted-mean ICVF in tract forceps minor
25662	Continuous	Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (left)
25663	Continuous	Weighted-mean ICVF in tract inferior fronto-occipital fasciculus (right)
25664	Continuous	Weighted-mean ICVF in tract inferior longitudinal fasciculus (left)
25665	Continuous	Weighted-mean ICVF in tract inferior longitudinal fasciculus (right)
25666	Continuous	Weighted-mean ICVF in tract middle cerebellar peduncle
25667	Continuous	Weighted-mean ICVF in tract medial lemniscus (left)
25668	Continuous	Weighted-mean ICVF in tract medial lemniscus (right)
25669	Continuous	Weighted-mean ICVF in tract posterior thalamic radiation (left)
25670	Continuous	Weighted-mean ICVF in tract posterior thalamic radiation (right)
25671	Continuous	Weighted-mean ICVF in tract superior longitudinal fasciculus (left)
25672	Continuous	Weighted-mean ICVF in tract superior longitudinal fasciculus (right)
25673	Continuous	Weighted-mean ICVF in tract superior thalamic radiation (left)
25674	Continuous	Weighted-mean ICVF in tract superior thalamic radiation (right)
25675	Continuous	Weighted-mean ICVF in tract uncinate fasciculus (left)
25676	Continuous	Weighted-mean ICVF in tract uncinate fasciculus (right)
25677	Continuous	Weighted-mean OD in tract acoustic radiation (left)
25678	Continuous	Weighted-mean OD in tract acoustic radiation (right)
25679	Continuous	Weighted-mean OD in tract anterior thalamic radiation (left)
25680	Continuous	Weighted-mean OD in tract anterior thalamic radiation (right)
25681	Continuous	Weighted-mean OD in tract cingulate gyrus part of cingulum (left)
25682	Continuous	Weighted-mean OD in tract cingulate gyrus part of cingulum (right)
25683	Continuous	Weighted-mean OD in tract parahippocampal part of cingulum (left)
25684	Continuous	Weighted-mean OD in tract parahippocampal part of cingulum (right)
25685	Continuous	Weighted-mean OD in tract corticospinal tract (left)
25686	Continuous	Weighted-mean OD in tract corticospinal tract (right)
25687	Continuous	Weighted-mean OD in tract forceps major
25688	Continuous	Weighted-mean OD in tract forceps minor
25689	Continuous	Weighted-mean OD in tract inferior fronto-occipital fasciculus (left)
25690	Continuous	Weighted-mean OD in tract inferior fronto-occipital fasciculus (right)
25691	Continuous	Weighted-mean OD in tract inferior longitudinal fasciculus (left)
25692	Continuous	Weighted-mean OD in tract inferior longitudinal fasciculus (right)
25693	Continuous	Weighted-mean OD in tract middle cerebellar peduncle
25694	Continuous	Weighted-mean OD in tract medial lemniscus (left)
25695	Continuous	Weighted-mean OD in tract medial lemniscus (right)
25696	Continuous	Weighted-mean OD in tract posterior thalamic radiation (left)
25697	Continuous	Weighted-mean OD in tract posterior thalamic radiation (right)
25698	Continuous	Weighted-mean OD in tract superior longitudinal fasciculus (left)
25699	Continuous	Weighted-mean OD in tract superior longitudinal fasciculus (right)
25700	Continuous	Weighted-mean OD in tract superior thalamic radiation (left)
25701	Continuous	Weighted-mean OD in tract superior thalamic radiation (right)
25702	Continuous	Weighted-mean OD in tract uncinate fasciculus (left)
25703	Continuous	Weighted-mean OD in tract uncinate fasciculus (right)
25704	Continuous	Weighted-mean ISOVF in tract acoustic radiation (left)
25705	Continuous	Weighted-mean ISOVF in tract acoustic radiation (right)
25706	Continuous	Weighted-mean ISOVF in tract anterior thalamic radiation (left)
25707	Continuous	Weighted-mean ISOVF in tract anterior thalamic radiation (right)
25708	Continuous	Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left)
25709	Continuous	Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (right)
25710	Continuous	Weighted-mean ISOVF in tract parahippocampal part of cingulum (left)
25711	Continuous	Weighted-mean ISOVF in tract parahippocampal part of cingulum (right)
25712	Continuous	Weighted-mean ISOVF in tract corticospinal tract (left)
25713	Continuous	Weighted-mean ISOVF in tract corticospinal tract (right)
25714	Continuous	Weighted-mean ISOVF in tract forceps major
25715	Continuous	Weighted-mean ISOVF in tract forceps minor
25716	Continuous	Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (left)
25717	Continuous	Weighted-mean ISOVF in tract inferior fronto-occipital fasciculus (right)
25718	Continuous	Weighted-mean ISOVF in tract inferior longitudinal fasciculus (left)
25719	Continuous	Weighted-mean ISOVF in tract inferior longitudinal fasciculus (right)
25720	Continuous	Weighted-mean ISOVF in tract middle cerebellar peduncle
25721	Continuous	Weighted-mean ISOVF in tract medial lemniscus (left)
25722	Continuous	Weighted-mean ISOVF in tract medial lemniscus (right)
25723	Continuous	Weighted-mean ISOVF in tract posterior thalamic radiation (left)
25724	Continuous	Weighted-mean ISOVF in tract posterior thalamic radiation (right)
25725	Continuous	Weighted-mean ISOVF in tract superior longitudinal fasciculus (left)
25726	Continuous	Weighted-mean ISOVF in tract superior longitudinal fasciculus (right)
25727	Continuous	Weighted-mean ISOVF in tract superior thalamic radiation (left)
25728	Continuous	Weighted-mean ISOVF in tract superior thalamic radiation (right)
25729	Continuous	Weighted-mean ISOVF in tract uncinate fasciculus (left)
25730	Continuous	Weighted-mean ISOVF in tract uncinate fasciculus (right)
25731	Continuous	Discrepancy between T1 brain image and standard-space brain template (linearly-aligned)
25732	Continuous	Discrepancy between T1 brain image and standard-space brain template (nonlinearly-aligned)
25733	Continuous	Amount of warping applied to non-linearly align T1 brain image to standard-space
25734	Continuous	Inverted signal-to-noise ratio in T1
25735	Continuous	Inverted contrast-to-noise ratio in T1
25736	Continuous	Discrepancy between T2 FLAIR brain image and T1 brain image
25737	Continuous	Discrepancy between dMRI brain image and T1 brain image
25738	Continuous	Discrepancy between SWI brain image and T1 brain image
25739	Continuous	Discrepancy between rfMRI brain image and T1 brain image
25740	Continuous	Discrepancy between tfMRI brain image and T1 brain image
25741	Continuous	Mean rfMRI head motion, averaged across space and time points
25742	Continuous	Mean tfMRI head motion, averaged across space and time points
25743	Continuous	Inverted temporal signal-to-noise ratio in pre-processed rfMRI
25744	Continuous	Inverted temporal signal-to-noise ratio in artefact-cleaned pre-processed rfMRI
25745	Continuous	Inverted temporal signal-to-noise ratio in pre-processed tfMRI
25746	Integer	Number of dMRI outlier slices detected and corrected
25747	Text	Eprime advisor file
25748	Text	Eprime txt file
25749	Text	Eprime ed2 file
25750	Text	rfMRI full correlation matrix, dimension 25
25751	Text	rfMRI full correlation matrix, dimension 100
25752	Text	rfMRI partial correlation matrix, dimension 25
25753	Text	rfMRI partial correlation matrix, dimension 100
25761	Continuous	90th percentile of BOLD effect (in group-defined mask) for shapes activation
25762	Continuous	90th percentile of z-statistic (in group-defined mask) for shapes activation
25763	Continuous	90th percentile of BOLD effect (in group-defined mask) for faces activation
25764	Continuous	90th percentile of z-statistic (in group-defined mask) for faces activation
25765	Continuous	90th percentile of BOLD effect (in group-defined mask) for faces-shapes contrast
25766	Continuous	90th percentile of z-statistic (in group-defined mask) for faces-shapes contrast
25767	Continuous	90th percentile of BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast
25768	Continuous	90th percentile of z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast
25780	Categorical (single)	Acquisition protocol phase.	778
25781	Continuous	Total volume of white matter hyperintensities (from T1 and T2_FLAIR images)
25782	Continuous	Volume of grey matter in Frontal Pole (left)
25783	Continuous	Volume of grey matter in Frontal Pole (right)
25784	Continuous	Volume of grey matter in Insular Cortex (left)
25785	Continuous	Volume of grey matter in Insular Cortex (right)
25786	Continuous	Volume of grey matter in Superior Frontal Gyrus (left)
25787	Continuous	Volume of grey matter in Superior Frontal Gyrus (right)
25788	Continuous	Volume of grey matter in Middle Frontal Gyrus (left)
25789	Continuous	Volume of grey matter in Middle Frontal Gyrus (right)
25790	Continuous	Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (left)
25791	Continuous	Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (right)
25792	Continuous	Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (left)
25793	Continuous	Volume of grey matter in Inferior Frontal Gyrus, pars opercularis (right)
25794	Continuous	Volume of grey matter in Precentral Gyrus (left)
25795	Continuous	Volume of grey matter in Precentral Gyrus (right)
25796	Continuous	Volume of grey matter in Temporal Pole (left)
25797	Continuous	Volume of grey matter in Temporal Pole (right)
25798	Continuous	Volume of grey matter in Superior Temporal Gyrus, anterior division (left)
25799	Continuous	Volume of grey matter in Superior Temporal Gyrus, anterior division (right)
25800	Continuous	Volume of grey matter in Superior Temporal Gyrus, posterior division (left)
25801	Continuous	Volume of grey matter in Superior Temporal Gyrus, posterior division (right)
